Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,INE466L01038
3M India LIMITED,Diversified,3MINDIA,EQ,INE470A01017
ABB India LIMITED,Capital Goods,ABB,EQ,INE117A01022
ACC LIMITED,Construction Materials,ACC,EQ,INE012A01025
ACME Solar Holdings LIMITED,Power,ACMESOLAR,EQ,INE622W01025
AIA Engineering LIMITED,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes LIMITED,Capital Goods,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank LIMITED,Financial Services,AUBANK,EQ,INE949L01017
AWL Agri Business LIMITED,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Aadhar Housing Finance LIMITED,Financial Services,AADHARHFC,EQ,INE883F01010
Aarti Industries LIMITED,Chemicals,AARTIIND,EQ,INE769A01020
Aavas Financiers LIMITED,Financial Services,AAVAS,EQ,INE216P01012
Abbott India LIMITED,Healthcare,ABBOTINDIA,EQ,INE358A01014
Action Construction Equipment LIMITED,Capital Goods,ACE,EQ,INE731H01025
Adani Energy Solutions LIMITED,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises LIMITED,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy LIMITED,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone LIMITED,Services,ADANIPORTS,EQ,INE742F01042
Adani Power LIMITED,Power,ADANIPOWER,EQ,INE814H01011
Adani Total Gas LIMITED,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Aditya Birla Capital LIMITED,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail LIMITED,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Real Estate LIMITED,Forest Materials,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC LIMITED,Financial Services,ABSLAMC,EQ,INE404A01024
Aegis Logistics LIMITED,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Afcons Infrastructure LIMITED,Construction,AFCONS,EQ,INE101I01011
Affle 3i LIMITED,Information Technology,AFFLE,EQ,INE00WC01027
Ajanta Pharmaceuticals LIMITED,Healthcare,AJANTPHARM,EQ,INE031B01049
Akums Drugs and Pharmaceuticals LIMITED,Healthcare,AKUMS,EQ,INE09XN01023
Alembic Pharmaceuticals LIMITED,Healthcare,APLLTD,EQ,INE901L01018
Alivus Life Sciences LIMITED,Healthcare,ALIVUS,EQ,INE03Q201024
Alkem Laboratories LIMITED,Healthcare,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals LIMITED,Chemicals,ALKYLAMINE,EQ,INE150B01039
Alok Industries LIMITED,Textiles,ALOKINDS,EQ,INE270A01029
Amara Raja Energy & Mobility LIMITED,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India LIMITED,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements LIMITED,Construction Materials,AMBUJACEM,EQ,INE079A01024
Anand Rathi Wealth LIMITED,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj LIMITED,Realty,ANANTRAJ,EQ,INE242C01024
Angel One LIMITED,Financial Services,ANGELONE,EQ,INE732I01013
Apar Industries LIMITED,Capital Goods,APARINDS,EQ,INE372A01015
Apollo Hospitals Enterprise LIMITED,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres LIMITED,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Aptus Value Housing Finance India LIMITED,Financial Services,APTUS,EQ,INE852O01025
Asahi India Glass LIMITED,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland LIMITED,Capital Goods,ASHOKLEY,EQ,INE208A01029
Asian Paints LIMITED,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare LIMITED,Healthcare,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India LIMITED,Healthcare,ASTRAZEN,EQ,INE203A01020
Astral LIMITED,Capital Goods,ASTRAL,EQ,INE006I01046
Atul LIMITED,Chemicals,ATUL,EQ,INE100A01010
Aurobindo Pharma LIMITED,Healthcare,AUROPHARMA,EQ,INE406A01037
Authum Investment & Infrastructure LIMITED,Financial Services,AIIL,EQ,INE206F01022
Avenue Supermarts LIMITED,Consumer Services,DMART,EQ,INE192R01011
Axis Bank LIMITED,Financial Services,AXISBANK,EQ,INE238A01034
BASF India LIMITED,Chemicals,BASF,EQ,INE373A01013
BEML LIMITED,Capital Goods,BEML,EQ,INE258A01016
BLS International Services LIMITED,Consumer Services,BLS,EQ,INE153T01027
BSE LIMITED,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto LIMITED,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance LIMITED,Financial Services,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv LIMITED,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment LIMITED,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing Finance LIMITED,Financial Services,BAJAJHFL,EQ,INE377Y01014
Balkrishna Industries LIMITED,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills LIMITED,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bandhan Bank LIMITED,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bata India LIMITED,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience LIMITED,Chemicals,BAYERCROP,EQ,INE462A01022
Berger Paints India LIMITED,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics LIMITED,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics LIMITED,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge LIMITED,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals LIMITED,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation LIMITED,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Bharti Airtel LIMITED,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom LIMITED,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Bikaji Foods International LIMITED,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Biocon LIMITED,Healthcare,BIOCON,EQ,INE376G01013
Birlasoft LIMITED,Information Technology,BSOFT,EQ,INE836A01035
Blue Dart Express LIMITED,Services,BLUEDART,EQ,INE233B01017
Blue Star LIMITED,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation LIMITED,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Bosch LIMITED,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Brainbees Solutions LIMITED,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises LIMITED,Realty,BRIGADE,EQ,INE791I01019
Britannia Industries LIMITED,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
C.E. Info Systems LIMITED,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) LIMITED,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
CESC LIMITED,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions LIMITED,Capital Goods,CGPOWER,EQ,INE067A01029
CRISIL LIMITED,Financial Services,CRISIL,EQ,INE007A01025
Campus Activewear LIMITED,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes LIMITED,Financial Services,CANFINHOME,EQ,INE477A01020
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Caplin Point Laboratories LIMITED,Healthcare,CAPLIPOINT,EQ,INE475E01026
Capri Global Capital LIMITED,Financial Services,CGCL,EQ,INE180C01042
Carborundum Universal LIMITED,Capital Goods,CARBORUNIV,EQ,INE120A01034
Castrol India LIMITED,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat LIMITED,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) LIMITED,Financial Services,CDSL,EQ,INE736A01011
Century Plyboards (India) LIMITED,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels LIMITED,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals LIMITED,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation LIMITED,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Cholamandalam Financial Holdings LIMITED,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company LIMITED,Financial Services,CHOLAFIN,EQ,INE121A01024
Cipla LIMITED,Healthcare,CIPLA,EQ,INE059A01026
City Union Bank LIMITED,Financial Services,CUB,EQ,INE491A01021
Clean Science and Technology LIMITED,Chemicals,CLEAN,EQ,INE227W01023
Coal India LIMITED,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cochin Shipyard LIMITED,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge LIMITED,Information Technology,COFORGE,EQ,INE591G01025
Cohance Lifesciences LIMITED,Healthcare,COHANCE,EQ,INE03QK01018
Colgate Palmolive (India) LIMITED,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services LIMITED,Financial Services,CAMS,EQ,INE596I01012
Concord Biotech LIMITED,Healthcare,CONCORDBIO,EQ,INE338H01029
Container Corporation of India LIMITED,Services,CONCOR,EQ,INE111A01025
Coromandel International LIMITED,Chemicals,COROMANDEL,EQ,INE169A01031
Craftsman Automation LIMITED,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
CreditAccess Grameen LIMITED,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals LIMITED,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India LIMITED,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient LIMITED,Information Technology,CYIENT,EQ,INE136B01020
DCM Shriram LIMITED,Diversified,DCMSHRIRAM,EQ,INE499A01024
DLF LIMITED,Realty,DLF,EQ,INE271C01023
DOMS Industries LIMITED,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
Dabur India LIMITED,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Dalmia Bharat LIMITED,Construction Materials,DALBHARAT,EQ,INE00R701025
Data Patterns (India) LIMITED,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. LIMITED,Chemicals,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite LIMITED,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery LIMITED,Services,DELHIVERY,EQ,INE148O01028
Devyani International LIMITED,Consumer Services,DEVYANI,EQ,INE872J01023
Divi's Laboratories LIMITED,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) LIMITED,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs LIMITED,Healthcare,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories LIMITED,Healthcare,DRREDDY,EQ,INE089A01031
Dummy Valor Estate LIMITED,Consumer Services,DUMMYDBRLT,BE,DUM879I01012
E.I.D. Parry (India) LIMITED,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031
EIH LIMITED,Consumer Services,EIHOTEL,EQ,INE230A01023
Eicher Motors LIMITED,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Elecon Engineering Co. LIMITED,Capital Goods,ELECON,EQ,INE205B01031
Elgi Equipments LIMITED,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami LIMITED,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Emcure Pharmaceuticals LIMITED,Healthcare,EMCURE,EQ,INE168P01015
Endurance Technologies LIMITED,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Engineers India LIMITED,Construction,ENGINERSIN,EQ,INE510A01028
Eris Lifesciences LIMITED,Healthcare,ERIS,EQ,INE406M01024
Escorts Kubota LIMITED,Capital Goods,ESCORTS,EQ,INE042A01014
Eternal LIMITED,Consumer Services,ETERNAL,EQ,INE758T01015
Exide Industries LIMITED,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FSN E-Commerce Ventures LIMITED,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank LIMITED,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore LIMITED,Chemicals,FACT,EQ,INE188A01015
